param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.0			0.1884884826325411	1.0747304173090361E-4			0.1884884826325411	1.0747304173090361E-4			0.1884884826325411	1.0747304173090361E-4							0.1884884826325411	1.0747304173090361E-4	0.2361374771480804	0.0012182911921241547	0.2361374771480804	0.0012182911921241547	0.6074881170018281	0.0666216985302238	
0.002			0.19067349177330895	0.0042400805108890795	0.8083246800731261	0.042629010267675446	0.78131042047532	0.04175315664461886	0.8223210237659963	0.0416350125955949	0.19067349177330895	0.0042400805108890795			0.8026383912248629	0.0563678106751695	0.8106588665447897	0.04353506586075047	0.7789762340036561	0.04112655639892616	0.4318888482632541	0.1943137961858604	0.21030347349177325	0.09776909203368689	0.6584936014625228	0.045895947258919705	
0.01	0.624744424131627	0.04929449137520448	0.19238903107861055	0.005080706821959677	0.8015502742230346	0.03815287725523453	0.7852241316270566	0.03827363134270644	0.8235276051188299	0.04453293917589803	0.2087063985374771	0.08979179684737043	0.6401360146252284	0.06690430097589281	0.8056614259597805	0.04988035362394768	0.8059422303473491	0.052766314146169696	0.7789762340036561	0.04112655639892616	0.47291261425959774	0.189644523665346	0.2087502742230347	0.08878024615677288	0.6584936014625228	0.045895947258919705	
0.02	0.6115817184643509	0.04337102270248018	0.19463107861060325	0.009263139920693119	0.7998478976234003	0.04707622355009576	0.78174478976234	0.043392047427916615	0.830398537477148	0.043294436011954575	0.2087063985374771	0.08979179684737043	0.6230201096892138	0.059145274461037525	0.8050691042047531	0.048864003774903915	0.8040643510054843	0.04345341265714342	0.78131042047532	0.04175315664461886	0.5349967093235831	0.1640663576304574	0.2087502742230347	0.08878024615677288	0.6598669104204753	0.04613002375392866	
0.04	0.4631678244972577	0.02528919894436813	0.2331100548446069	0.06065857430310133	0.818108957952468	0.05545354164726388	0.8029060329067641	0.04995931970104504	0.8291042047531992	0.05159536823140038	0.20847824497257764	0.09082856669509427	0.6510040219378428	0.06564229491487474	0.807780621572212	0.05578845969727063	0.8237952468007311	0.05175476265901177	0.7808453382084095	0.041342800367557164	0.5891700182815356	0.10123948012803186	0.22515978062157216	0.121164917438166	0.6574800731261425	0.04623113967721326	
0.06	0.4591575868372943	0.028436505067899177	0.33834588665447896	0.10492861218946116	0.8328555758683729	0.051139147856372864	0.8100665447897623	0.058594809360044756	0.8173674588665447	0.0554152760099255	0.2088994515539305	0.09075600976919007	0.6463663619744058	0.07290123649874737	0.8065828153564898	0.05237958317258314	0.8319868372943326	0.057216529587906774	0.7808453382084095	0.041342800367557164	0.6020212065813528	0.11463078842039226	0.2402793418647166	0.13889988119750588	0.6581557586837293	0.0478998923503507	
0.08	0.46054844606946976	0.024091061966348498	0.3613060329067641	0.088883855917251	0.8182756855575868	0.06146005289178369	0.8281915904936014	0.0519206270972296	0.8208775137111516	0.04389797194500141	0.2088994515539305	0.09075600976919007	0.6536058500914076	0.06741427369332105	0.8080087751371114	0.05269392583614801	0.8443246800731261	0.05390980558012025	0.7808453382084095	0.041342800367557164	0.5846464351005484	0.14121534864385732	0.26898281535648993	0.1631150225440975	0.6572299817184643	0.046393447324528166	
0.1	0.46054844606946976	0.024091061966348498	0.381580987202925	0.07455417742305796	0.8288453382084094	0.0658180062462004	0.8345009140767824	0.05845089555024753	0.8278976234003657	0.049904966017282934	0.20972431444241313	0.09364514263032113	0.6501616087751372	0.06535346419147509	0.8050252285191956	0.057898929011704986	0.8532270566727604	0.03925507508963871	0.7841974405850091	0.03874058849401224	0.6085235831809872	0.11660692818151419	0.26821060329067636	0.16071598938013573	0.6584497257769653	0.04516564657212934	
0.12000000000000001	0.45969287020109684	0.02474997211079321	0.37999707495429613	0.10048614596442056	0.8401038391224863	0.04253817766737607	0.8463780621572212	0.04919573593865381	0.8303371115173674	0.04325362593818114	0.2099524680073126	0.0935979846817326	0.6532899451553931	0.06357136375147684	0.8035861060329067	0.060404107228745924	0.8564431444241316	0.043389898458858704	0.78330676416819	0.037916206218756125	0.6542376599634369	0.139110859851426	0.29416307129798897	0.18893936664669844	0.661253382084095	0.04456583894174474	
0.14	0.46092577696526504	0.02710738885307667	0.3890617915904936	0.12132791713106829	0.8401433272394879	0.05126442380925456	0.8603393053016453	0.04175183299396005	0.8231502742230348	0.053295795502654925	0.20972431444241313	0.09364514263032113	0.6628943327239487	0.058474121378348135	0.804726873857404	0.05122410226134151	0.8720277879341864	0.04997221290047688	0.7823678244972576	0.037921161438679726	0.6810018281535648	0.15760731573740897	0.3048819012797075	0.18742940325121218	0.6592175502742229	0.04530461101084027	
