	pWalk	Walk	For	logFor	Comm	logComm	RSP	FE	SP-CT	
0.0	1.0	null	1.0	null	1.0	null	null	null	0.9081054959113978	
0.01	0.8446244450044097	0.8534193183362088	0.7754349530268101	0.8552007965111663	0.8481575348354624	0.8538586093169199	null	null	0.9074524897350793	
0.02	0.8454149177610937	0.8534491233156294	0.7757711598312075	0.857296809880451	0.8501397559161811	0.8547581979881023	null	null	0.9067715278800902	
0.03	0.8463386747854087	0.8535004132915953	0.7760805126812853	0.8589954484225578	0.8509590478989189	0.8557542482065438	null	null	0.9060662707273857	
0.04	0.8472139317464805	0.8535726698239268	0.7763658404585111	0.8603176181520105	0.8511794707066194	0.8566678870742267	null	null	0.9053398064720483	
0.05	0.847958348559591	0.8536639106193418	0.7766286267185843	0.8613456873980732	0.85099964859233	0.8574408099293833	0.9080941576901306	0.9086398177564614	0.9045970010944699	
0.06	0.8485557906680212	0.8537716611313747	0.7768716211584834	0.8621474928268751	0.8505796823056563	0.8580606774592818	0.9080894616134655	0.908743835374499	0.9038369860592683	
0.07	0.8490367233999527	0.8538922049264281	0.7770952626597987	0.8627693970192483	0.850066571615975	0.8585306661465929	0.9080837534093872	0.9088462322045058	0.9030603553124629	
0.08	0.8494429017341905	0.8540230079761445	0.7773022785982117	0.8632458845708808	0.8495158689940758	0.8588618722946163	0.9080768626130188	0.9089469819971352	0.9022672096116403	
0.09	0.8497933233390661	0.854161555518314	0.7774936712498368	0.8636012287699408	0.8489491341317942	0.8590622932250209	0.9080688714639991	0.9090465208282282	0.9014565103929907	
0.1	0.8500874574914514	0.8543049436020789	0.7776707790195931	0.8638547240707202	0.8483832999774907	0.8591379897934373	0.9080595950946032	0.9091450575702568	0.9006266672952793	
0.11	0.8503363433820539	0.8544511213491668	0.7778355104407227	0.8640199655147808	0.8478299139990043	0.8590935600623439	0.9080488170880103	0.9092424338542423	0.8997760577223253	
0.12	0.8505582203162578	0.8545982042310822	0.777988734734458	0.8641082989300888	0.847299132324112	0.85893196790094	0.9080369894816593	0.9093384222897654	0.8989040697089615	
0.13	0.8507546005931087	0.8547446180975882	0.7781313691315249	0.8641284273155176	0.8467880498173066	0.8586542504389852	0.9080240149472134	0.9094330082245781	0.8980090773544578	
0.14	0.8509233449843957	0.854888258823519	0.7782644690302307	0.8640880714705235	0.8462988007811494	0.8582593431750738	0.9080101241796413	0.909526023687803	0.8970914256413174	
0.15	0.851066796976902	0.8550290889988799	0.778388986140847	0.8639934920201098	0.8458345244130161	0.85774536307711	0.9079948350888083	0.9096176185064702	0.8961509416106639	
0.16	0.8511858809716027	0.8551653953082523	0.7785056620541733	0.8638495323739721	0.8454038330548923	0.8571116980552268	0.9079782673866981	0.9097077226615387	0.895187500063714	
0.17	0.8512857058021073	0.8552965683428186	0.7786147207313794	0.8636609665462648	0.8450052098561831	0.8563550746101666	0.9079602542247334	0.9097964514381432	0.8942011193937152	
0.18	0.8513677327028177	0.8554222263335807	0.7787166889675441	0.8634308519935245	0.8446400247085535	0.8554752685937097	0.9079405987639906	0.9098832796623048	0.8931926311001552	
0.19	0.8514338021207857	0.8555413929420203	0.7788132081885454	0.8631633745200855	0.8443080105046393	0.8544717253403313	0.9079194000786065	0.9099687527093994	0.8921619462095961	
0.2	0.8514874973100265	0.8556535634449556	0.7789040071095701	0.8628601021035356	0.8440061694568459	0.8533455049869378	0.9078968113001603	0.91005277655564	0.891108996698197	
0.21	0.8515264573881094	0.8557580513066296	0.778989980702397	0.8625246940025303	0.8437356388913696	0.8520986142056581	0.9078728073639555	0.9101352926543844	0.8900339724840322	
0.22	0.8515505682545498	0.8558547164889613	0.7790711677487212	0.8621584517107935	0.8434938155090124	0.8507367428696728	0.9078471732248711	0.9102160377016183	0.8889375192636144	
0.23	0.8515609608134949	0.8559435796297976	0.7791478851735495	0.8617644548814589	0.8432791997301268	0.8492663889080537	0.9078201312229769	0.9102947402878283	0.8878200541583874	
0.24	0.8515581146610796	0.85602366975272	0.7792211515263445	0.8613430559166789	0.8430901031169412	0.8476985870223088	0.9077914551525037	0.9103722182578539	0.8866817279929805	
0.25	0.8515428806876391	0.8560959582705971	0.779290552054962	0.8608965043417993	0.8429251542813911	0.8460434077336766	0.9077614336315624	0.9104481654108864	0.8855233868567796	
0.26	0.8515167271107749	0.8561594521351132	0.7793559884334655	0.8604264413956484	0.8427823532851467	0.8443157876684879	0.9077296935578034	0.9105221988556276	0.8843449910328398	
0.27	0.8514808849063704	0.8562138745746557	0.7794187411436319	0.8599329433322656	0.8426567843925227	0.842535088681375	0.907696735788709	0.9105945786538925	0.8831471652057269	
0.28	0.8514374764681389	0.8562596931518114	0.7794785759365426	0.8594178552126016	0.8425459649515546	0.8407195597419709	0.9076624635570923	0.9106656544644335	0.8819289664565182	
0.29	0.8513882014568506	0.8562962070526751	0.7795358065573554	0.8588820587278873	0.8424474736003199	0.8388926925812996	0.9076270994524234	0.910734412351688	0.8806924304500886	
0.3	0.8513338729787454	0.856322932004862	0.7795901552992079	0.8583269305035864	0.8423570056330505	0.8370780384746273	0.907591087094892	0.9108014208852289	0.8794376432917764	
0.31	0.8512754343268458	0.8563401974033779	0.7796424413786393	0.8577520998689993	0.8422712162844486	0.8353043012381732	0.9075540892333938	0.910866668031508	0.8781644446174033	
0.32	0.8512135095622176	0.8563477986779002	0.7796923546044414	0.8571591247010151	0.8421830392429195	0.833598373046802	0.9075163323230983	0.9109307344559967	0.8768741391628929	
0.33	0.851148643686137	0.8563457968690709	0.7797403986398461	0.8565484950705675	0.8420814695479009	0.8319935076450178	0.9074781096583656	0.9109923076290225	0.875567675209267	
0.34	0.8510818856125122	0.8563341871759405	0.7797865108231121	0.8559200447525793	0.8419585738488156	0.830523867902552	0.9074388539166227	0.9110520132951007	0.8742448241191066	
0.35000000000000003	0.8510131976195983	0.8563124460456296	0.7798307635425795	0.8552745258126486	0.8418013104602764	0.8292238672737523	0.9073991858543856	0.9111096083516143	0.8729059815654581	
0.36	0.8509435468804645	0.8562802932149265	0.7798734633108069	0.8546132920561424	0.8416006078949598	0.8281308701133674	0.9073588406088899	0.9111655759486479	0.8715516737822504	
