param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.0			0.29117304160344964	0.014887929444669913			0.29117304160344964	0.014887929444669913			0.29117304160344964	0.014887929444669913							0.29117304160344964	0.014887929444669913	0.2976315579334025	0.014731064483957643	0.2976315579334025	0.014731064483957643			
0.002			0.306907290585323	0.01773035967138398			0.6091926854587559	0.021249385454453915			0.29604088477201945	0.012127584207600848							0.6032324522877905	0.020739309314684325	0.317850355346163	0.016704324819037684	0.3014836700471133	0.01487947752640125			
0.01			0.325037131677713	0.010347715684004298			0.6202124091671325	0.022223204452723317			0.29604088477201945	0.012127584207600848							0.6091926854587559	0.021249385454453915	0.317850355346163	0.016704324819037684	0.30418589794777606	0.013583087541965536			
0.02			0.5003178152199952	0.166375313563655			0.6245053102291783	0.027661826479236987			0.29604088477201945	0.012127584207600848							0.6091926854587559	0.021249385454453915	0.312369240597301	0.015548112565586861	0.30418589794777606	0.013583087541965536			
0.04			0.6560313024035774	0.020651015563617287			0.6522941787111715	0.014909530973911853			0.29604088477201945	0.012127584207600848							0.6091926854587559	0.021249385454453915	0.3096095184859858	0.012149105509002257	0.2987431126726823	0.012122245253898174			
0.06			0.6214581170646012	0.07095854147428594			0.6461231334344806	0.021623267819465653			0.29604088477201945	0.012127584207600848							0.6154212249460993	0.02921487979264113	0.30959035374910165	0.012132958651833106	0.2987431126726823	0.012122245253898174			
0.08			0.5999936117543719	0.04579723555543796			0.6628347839974447	0.02303663952982421			0.29604088477201945	0.012127584207600848							0.6202124091671325	0.022223204452723317	0.30959035374910165	0.012132958651833106	0.2987431126726823	0.012122245253898174			
0.1			0.6369815539407491	0.05868481362379082			0.6756943224466981	0.012668601402484624			0.29604088477201945	0.012127584207600848							0.6202124091671325	0.022223204452723317	0.30959035374910165	0.012132958651833106	0.2987431126726823	0.012122245253898174			
0.12000000000000001			0.6565295855625649	0.037540302716329695			0.6755026750778568	0.007463674731607619			0.29604088477201945	0.012127584207600848							0.6202124091671325	0.022223204452723317	0.30959035374910165	0.012132958651833106	0.2987431126726823	0.012122245253898174			
0.14			0.6720721871755969	0.025023323634148983			0.6879597540525433	0.011439718640676782			0.29604088477201945	0.012127584207600848							0.6202124091671325	0.022223204452723317	0.3140749021799888	0.01365754774483527	0.2987431126726823	0.012122245253898174			
