param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.0			0.29349580771380657	0.012212285879486145			0.29349580771380657	0.012212285879486145			0.29349580771380657	0.012212285879486145							0.29349580771380657	0.012212285879486145	0.29156016928850914	0.01347418053867911	0.29156016928850914	0.01347418053867911	0.6227344885410845	0.016078646206956575	
0.002			0.3013495168889244	0.014914069420138894	0.6317955761399027	0.011081056020870448	0.6270753014453405	0.016295803391777695	0.6310903138225665	0.013683396994596008	0.2938886848199313	0.011657100851687018			0.6309619100854428	0.011757545120004228	0.6309408288748702	0.01353633972524825	0.627452846761958	0.016198389392940844	0.3094044558013256	0.02072448397081059	0.2947664297692246	0.011318959442382984	0.6308354228220076	0.011328126832616523	
0.01	0.6254424658628125	0.011742193207818696	0.46639431446139107	0.11108629529819909	0.6336967180388087	0.012691948563836743	0.629219835502675	0.013897475180687319	0.6331658548271182	0.014066735833603917	0.29388101892517765	0.011636190637190565	0.6288327078176156	0.014256932916893061	0.6312436317176395	0.014014869152881929	0.6343157390401661	0.015307291995760466	0.6267207538129841	0.01620153433696475	0.3094044558013256	0.02072448397081059	0.29495999361175435	0.011194860799701918	0.6316250099816338	0.011543915590666412	
0.02	0.62422550507067	0.013533890297512716	0.6246107162820411	0.045386662483597705	0.6350459155154516	0.01591804877807437	0.6317629960871995	0.019303268639240787	0.6325008384572386	0.017579225326333884	0.29380052703026427	0.011673089312061284	0.6298158588197716	0.014010210626022054	0.6299250978200113	0.012950276613504138	0.634440309829913	0.016962309476272086	0.6268127445500279	0.016796006858821117	0.3094044558013256	0.02072448397081059	0.29495999361175435	0.011194860799701918	0.6317476642976922	0.011613995290937268	
0.04	0.6251032500199633	0.00963147953802266	0.637514333626128	0.06606596952320543	0.6307568474007826	0.016750587286453206	0.638233011259283	0.01770007869627152	0.6345188852511379	0.01852739609042704	0.29380052703026427	0.011673089312061284	0.628481993132636	0.014558807595976754	0.6296165455561766	0.013786964612537325	0.6350286672522558	0.018965643891370815	0.628357422342889	0.01590529431143461	0.3114819132795656	0.023776980146204794	0.29495999361175435	0.011194860799701918	0.6312972929809151	0.011475564050776429	
0.06	0.6253447257047033	0.010336535391546673	0.6296261279246187	0.05984031652066485	0.6315387686656552	0.020582704541167583	0.6393215683143016	0.02177966421782469	0.6256130320210812	0.020961401275625954	0.2940707498203306	0.011754001097071413	0.6286257286592669	0.015059239520221987	0.6304061327158029	0.014879759502272792	0.6355058692006708	0.018881409827303797	0.6294172322925816	0.014113368323146754	0.31249572786073626	0.024128458568010155	0.29495999361175435	0.011194860799701918	0.6312627964545237	0.011534652457265687	
0.08	0.6239303681226543	0.010958753337982463	0.6160421624211451	0.053506278764325545	0.6298867683462429	0.0392595790320135	0.6509104847081371	0.01784965924981003	0.6278763874470974	0.025773979937318635	0.29429881018925175	0.011643961211928502	0.6279147169208656	0.013439828895992668	0.6325257526151881	0.015137941945026252	0.634329154355985	0.027203491188975013	0.6298254411882137	0.0134582537791321	0.31099704543639706	0.022021486463806843	0.2951478080332189	0.011324848203362898	0.6288767867124492	0.011602420754021896	
0.1	0.6236965583326679	0.011717387287245125	0.6398313503154196	0.051727318950726756	0.6407646730016769	0.04830139457108758	0.6610198834145173	0.016735583627834453	0.6212741355905135	0.028394617055841672	0.2944885410844047	0.01159300910560584	0.6304789587159626	0.013264810757723497	0.6340397668290345	0.01664986285010126	0.6472231893316298	0.03683044182793345	0.6282021879741276	0.013947255888528208	0.3101863770661982	0.018525879289888508	0.2961156272458676	0.012025728490895662	0.6300017567675478	0.014633876786624445	
0.12000000000000001	0.6240645212808432	0.012009778689167897	0.6356956000958237	0.051139877561026593	0.6383230855226383	0.05087023451303078	0.6760182065000399	0.020195650700391487	0.6235892358061167	0.030887582009561612	0.2944885410844047	0.01159300910560584	0.6313337059809949	0.013770546664396546	0.6358795815699113	0.019120188205932545	0.6345648806196599	0.04426892898431763	0.6282366845005191	0.014477987555992385	0.3104067715403657	0.019016824862124655	0.2963781841411802	0.011874811258066916	0.6293999840293859	0.01437252581371531	
0.14	0.6239648646490458	0.009912996991790194	0.6533674039766829	0.048864020198707184	0.665747824003833	0.04128699062824521	0.6831762357262637	0.0182247646917796	0.6080447177193963	0.04983659594911549	0.2944885410844047	0.01159300910560584	0.6311075620857622	0.015358145866779934	0.6325564161942027	0.017819557551921984	0.6332290984588357	0.051567516892949236	0.6292294178711172	0.015939768493858815	0.3096823444861455	0.018743049086055376	0.2966445739838697	0.012303555924201497	0.6293175756607842	0.015497339138794568	
