param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.0			0.18852358318098716	1.118614884152134E-4			0.18852358318098716	1.118614884152134E-4			0.18852358318098716	1.118614884152134E-4							0.18852358318098716	1.118614884152134E-4	0.23563729433272393	9.552412895244042E-4	0.23563729433272393	9.552412895244042E-4	0.4926391224862888	0.0420504976300952	
0.002			0.19270054844606943	0.005533992057837964	0.5631561243144424	0.0548654903567924	0.5446230347349177	0.07056699604954103	0.5779597806215722	0.06481313104835641	0.19271809872029247	0.005573277187352211			0.5668197440585009	0.06474795263739361	0.5676928702010968	0.06383785030489506	0.5439561243144424	0.07003417941625904	0.21146617915904933	0.04520961299339063	0.19271809872029247	0.005573277187352211	0.49708811700182814	0.045422563943791384	
0.01	0.48483802559414985	0.03824283256445402	0.19541206581352832	0.010223858547751768	0.57083436928702	0.06576496593472894	0.552090676416819	0.06866512723990756	0.5855151736745886	0.0733472925615516	0.19271809872029247	0.005573277187352211	0.5018749542961608	0.04485511346294811	0.5662800731261426	0.06863665369836171	0.5750464351005484	0.059117633172926426	0.5439561243144424	0.07003417941625904	0.20844753199268734	0.04495401052491532	0.19271809872029247	0.005573277187352211	0.49708811700182814	0.045422563943791384	
0.02	0.48518464351005475	0.0342657382520307	0.19973820840950637	0.023156973472912807	0.58381718464351	0.05816747409962363	0.5493923217550274	0.06333890038765363	0.588836563071298	0.0699590855299418	0.19271809872029247	0.005573277187352211	0.4930471663619743	0.04318071073444753	0.563853747714808	0.07272949785949728	0.5850413162705667	0.06349836716331728	0.5446230347349177	0.07056699604954103	0.2041740402193784	0.01707965674005357	0.19271809872029247	0.005573277187352211	0.4939027422303473	0.044092937000189444	
0.04	0.43939159049360144	0.02500205005481165	0.27480950639853746	0.07392967385678471	0.5721155393053016	0.0722284547620663	0.5798464351005483	0.06405144930008831	0.5980855575868372	0.0456610621018421	0.19271809872029247	0.005573277187352211	0.5100270566727605	0.04817826279210298	0.5695663619744058	0.06955046067099825	0.5694478976234003	0.05311306836811751	0.5446230347349177	0.07056699604954103	0.22639268738574037	0.0770585888498135	0.19314808043875684	0.00643842360601247	0.4939027422303473	0.044092937000189444	
0.06	0.4498383912248628	0.019401504317147395	0.340272029250457	0.053624454042860994	0.5899246800731262	0.07149240908806934	0.5966025594149909	0.06751851437639961	0.5868489945155393	0.06334526049156203	0.19271809872029247	0.005573277187352211	0.5199999999999999	0.045133879368306914	0.5810749542961609	0.06728756061632374	0.6052460694698354	0.06278835413608053	0.545162705667276	0.07007820310313281	0.21253235831809866	0.060573428330519985	0.1929462522851919	0.006320142367024047	0.49361316270566724	0.0441995369833973	
0.08	0.4469864716636197	0.02470323674307461	0.3633901279707495	0.05299641189621657	0.5864058500914077	0.06047192658412368	0.6071809872029249	0.07960013441123587	0.5800921389396708	0.06368933878636097	0.19271809872029247	0.005573277187352211	0.510180621572212	0.04965134619314376	0.5751034734917733	0.059959562121205345	0.6082559414990859	0.05525448303971136	0.5463166361974405	0.07031768711837365	0.22571700182815352	0.07474121619012015	0.19335868372943324	0.006342427261282981	0.49357806215722116	0.04309539618176952	
0.1	0.4469864716636197	0.02470323674307461	0.3705023765996343	0.04428939913578887	0.5675831809872028	0.05696306198554574	0.590653016453382	0.059870429831965645	0.5867349177330895	0.06459873684188255	0.19271809872029247	0.005573277187352211	0.5089126142595978	0.047800474905323166	0.5742961608775137	0.06742916365738252	0.6086903107861059	0.06946947281729647	0.5474574040219378	0.06990629313224042	0.22047824497257765	0.07500893054992037	0.19338500914076778	0.0063725940490869	0.49252943327239485	0.04119030903309537	
0.12000000000000001	0.44855283363802556	0.02201389650552051	0.352618647166362	0.05776258964529325	0.5421177330895796	0.09640673597947905	0.6143327239488117	0.0472412461963649	0.5865857404021937	0.06247240885055482	0.19271809872029247	0.005573277187352211	0.5102990859232175	0.04572693105852058	0.5760819012797075	0.06554709567951497	0.6175224862888482	0.056453014320917115	0.5519502742230347	0.06874052994222257	0.2451012797074954	0.11194105243659128	0.1929287020109689	0.006286190501700194	0.49934771480804385	0.040646890912878736	
0.14	0.4470040219378427	0.021004413316778343	0.3793213893967093	0.05427441368258914	0.5251773308957952	0.11441672559833559	0.5797586837294332	0.06014202348953204	0.5842734917733089	0.05438160580590254	0.19289360146252282	0.005894738224195324	0.5187846435100547	0.04887518128274061	0.584435831809872	0.0743743970460792	0.619799634369287	0.06947868470531204	0.5502435100548445	0.06524742452357553	0.23776965265082264	0.11562440314886521	0.1929287020109689	0.006286190501700194	0.49933893967093235	0.045836234708874865	
0.16	0.44583254113345516	0.02108080681005579	0.3633550274223034	0.05984120439594425	0.4614391224862888	0.07936474063432827	0.53610676416819	0.06365200972130085	0.590271297989031	0.0504981340473729	0.19289360146252282	0.005894738224195324	0.5189733089579525	0.04875555878287707	0.5803729433272394	0.06513892527905082	0.6341074954296161	0.06566801036221723	0.5505023765996343	0.06386144373147269	0.25710566727605116	0.10402677729286189	0.1929287020109689	0.006286190501700194	0.5003568555758683	0.0491991984980815	
0.18	0.4419978062157221	0.022026564652282275	0.3639956124314442	0.054605376597251	0.4290106032906764	0.08250542584030122	0.5000146252285191	0.04746106013752881	0.5850764168190128	0.06470706495083181	0.19289360146252282	0.005894738224195324	0.5242032906764167	0.04894876018411967	0.5790478976234003	0.05905152830789505	0.64691042047532	0.058480409455002096	0.5472906764168189	0.0635933327892271	0.2583780621572212	0.11927364366363012	0.19338500914076778	0.0063725940490869	0.507144424131627	0.047720155618723274	
0.19999999999999998	0.4486537477148079	0.022259233553847426	0.33344936014625226	0.05134018195975987	0.41849798903107854	0.07455133273701138	0.4482500914076782	0.033160997196628655	0.57647239488117	0.07201569356175712	0.19289360146252282	0.005894738224195324	0.5212285191956124	0.04305388976629136	0.5771217550274222	0.062398994353182836	0.6485820840950639	0.06710708712357907	0.5543414990859232	0.06210494026704608	0.2621952468007312	0.12749474695330318	0.19338500914076778	0.0063725940490869	0.49896160877513707	0.05190299578664539	
